1um,5um,time (iso),1um arduino,arduino P1 ratio
7414,602,2015-08-18T16:36:34.654000,17008.7174621,27.404029822
7249,465,2015-08-18T16:37:33.412000,15945.3668933,25.6950395084
6791,406,2015-08-18T16:38:32.167000,14710.9834569,23.7087352609
5912,377,2015-08-18T16:39:30.924000,13489.8467562,21.7400624888
6699,375,2015-08-18T16:40:29.680000,10843.4841065,17.4755039749
6380,399,2015-08-18T16:41:28.436000,13101.4471801,21.1081552361
5673,467,2015-08-18T16:42:27.195000,11117.3675354,17.9176298112
6256,661,2015-08-18T16:43:25.948000,10823.2473903,17.4439722139
5553,500,2015-08-18T16:44:24.705000,11297.6693211,18.2058351131
4661,260,2015-08-18T16:45:23.460000,10700.9536102,17.2424117121
3882,146,2015-08-18T16:46:22.215000,8814.50463192,14.2054453539
3263,117,2015-08-18T16:47:20.969000,6770.25431663,10.9102577922
3285,125,2015-08-18T16:48:19.722000,6753.03951278,10.8804213103
2863,110,2015-08-18T16:49:18.475000,6200.34200427,9.98817307865
2092,101,2015-08-18T16:50:17.229000,4030.49233583,6.493456888
1493,65,2015-08-18T16:51:15.981000,1989.99741964,4.09120801858
1699,107,2015-08-18T16:52:14.738000,1039.74663317,3.5282696769
2580,121,2015-08-18T16:53:13.493000,1625.95199739,3.66132098606
3392,116,2015-08-18T16:54:12.251000,3861.38902226,6.21869362793
